year,state,month,number,date
2003,PA,Abril,14,2003-01-01
2004,PA,Abril,23,2004-01-01
2005,PA,Abril,14,2005-01-01
2006,PA,Abril,2,2006-01-01
2007,PA,Abril,0,2007-01-01
2008,PA,Abril,7,2008-01-01
2009,PA,Abril,8,2009-01-01
2010,PA,Abril,22,2010-01-01
2011,PA,Abril,10,2011-01-01
2012,PA,Abril,11,2012-01-01
2013,PA,Abril,20,2013-01-01
2014,PA,Abril,27,2014-01-01
2015,PA,Abril,27,2015-01-01
2016,PA,Abril,66,2016-01-01
2017,PA,Abril,45,2017-01-01
1998,PA,Maio,0,1998-01-01
1999,PA,Maio,4,1999-01-01
2000,PA,Maio,12,2000-01-01
2001,PA,Maio,7,2001-01-01
2002,PA,Maio,18,2002-01-01
2003,PA,Maio,3,2003-01-01
2004,PA,Maio,44,2004-01-01
2005,PA,Maio,37,2005-01-01
2006,PA,Maio,0,2006-01-01
2007,PA,Maio,9,2007-01-01
2008,PA,Maio,0,2008-01-01
2009,PA,Maio,7,2009-01-01
2010,PA,Maio,57,2010-01-01
2011,PA,Maio,16,2011-01-01
2012,PA,Maio,59,2012-01-01
2013,PA,Maio,42,2013-01-01
2014,PA,Maio,70,2014-01-01
2015,PA,Maio,95,2015-01-01
2016,PA,Maio,154,2016-01-01
2017,PA,Maio,114,2017-01-01
1998,PA,Junho,58,1998-01-01
1999,PA,Junho,37,1999-01-01
2000,PA,Junho,59,2000-01-01
2001,PA,Junho,42,2001-01-01
2002,PA,Junho,149,2002-01-01
2003,PA,Junho,64,2003-01-01
2004,PA,Junho,340,2004-01-01
2005,PA,Junho,304,2005-01-01
2006,PA,Junho,78,2006-01-01
2007,PA,Junho,129,2007-01-01
2008,PA,Junho,48,2008-01-01
2009,PA,Junho,38,2009-01-01
2010,PA,Junho,94,2010-01-01
2011,PA,Junho,105,2011-01-01
2012,PA,Junho,183,2012-01-01
2013,PA,Junho,173,2013-01-01
2014,PA,Junho,319,2014-01-01
2015,PA,Junho,265,2015-01-01
2016,PA,Junho,502,2016-01-01
2017,PA,Junho,679,2017-01-01
1998,PA,Julho,638,1998-01-01
1999,PA,Julho,982,1999-01-01
2000,PA,Julho,426,2000-01-01
2001,PA,Julho,708,2001-01-01
2002,PA,Julho,772,2002-01-01
2003,PA,Julho,1571,2003-01-01
2004,PA,Julho,4436,2004-01-01
2005,PA,Julho,4364,2005-01-01
2006,PA,Julho,615,2006-01-01
2007,PA,Julho,476,2007-01-01
2008,PA,Julho,971,2008-01-01
2009,PA,Julho,397,2009-01-01
2010,PA,Julho,1432,2010-01-01
2011,PA,Julho,632,2011-01-01
2012,PA,Julho,661,2012-01-01
2013,PA,Julho,447,2013-01-01
2014,PA,Julho,825,2014-01-01
2015,PA,Julho,906,2015-01-01
2016,PA,Julho,1579,2016-01-01
2017,PA,Julho,4985,2017-01-01
1998,PA,Agosto,6815,1998-01-01
1999,PA,Agosto,6178,1999-01-01
2000,PA,Agosto,5484,2000-01-01
2001,PA,Agosto,9043,2001-01-01
2002,PA,Agosto,15664,2002-01-01
2003,PA,Agosto,6255,2003-01-01
2004,PA,Agosto,12812,2004-01-01
2005,PA,Agosto,13055,2005-01-01
2006,PA,Agosto,7575,2006-01-01
2007,PA,Agosto,14352,2007-01-01
2008,PA,Agosto,4435,2008-01-01
2009,PA,Agosto,3859,2009-01-01
2010,PA,Agosto,1813,2010-01-01
2011,PA,Agosto,2195,2011-01-01
2012,PA,Agosto,6964,2012-01-01
2013,PA,Agosto,2161,2013-01-01
2014,PA,Agosto,8555,2014-01-01
2015,PA,Agosto,7913,2015-01-01
2016,PA,Agosto,4863,2016-01-01
2017,PA,Agosto,11962,2017-01-01
1998,PA,Setembro,6237,1998-01-01
1999,PA,Setembro,4419,1999-01-01
2000,PA,Setembro,2569,2000-01-01
2001,PA,Setembro,6139,2001-01-01
2002,PA,Setembro,5609,2002-01-01
2003,PA,Setembro,8447,2003-01-01
2004,PA,Setembro,9471,2004-01-01
2005,PA,Setembro,9032,2005-01-01
2006,PA,Setembro,8372,2006-01-01
2007,PA,Setembro,1459,2007-01-01
2008,PA,Setembro,6294,2008-01-01
2009,PA,Setembro,6051,2009-01-01
2010,PA,Setembro,1081,2010-01-01
2011,PA,Setembro,5185,2011-01-01
2012,PA,Setembro,687,2012-01-01
2013,PA,Setembro,336,2013-01-01
2014,PA,Setembro,6787,2014-01-01
2015,PA,Setembro,11068,2015-01-01
2016,PA,Setembro,3953,2016-01-01
2017,PA,Setembro,25004,2017-01-01
1998,PA,Outubro,3665,1998-01-01
1999,PA,Outubro,5026,1999-01-01
2000,PA,Outubro,4313,2000-01-01
2001,PA,Outubro,5096,2001-01-01
2002,PA,Outubro,5189,2002-01-01
2003,PA,Outubro,3803,2003-01-01
2004,PA,Outubro,4726,2004-01-01
2005,PA,Outubro,5083,2005-01-01
2006,PA,Outubro,5964,2006-01-01
2007,PA,Outubro,2504,2007-01-01
2008,PA,Outubro,6653,2008-01-01
2009,PA,Outubro,6342,2009-01-01
2010,PA,Outubro,3843,2010-01-01
2011,PA,Outubro,3141,2011-01-01
2012,PA,Outubro,3714,2012-01-01
2013,PA,Outubro,4921,2013-01-01
2014,PA,Outubro,6448,2014-01-01
2015,PA,Outubro,7781,2015-01-01
2016,PA,Outubro,5281,2016-01-01
2017,PA,Outubro,7628,2017-01-01
1998,PA,Novembro,1861,1998-01-01
1999,PA,Novembro,2682,1999-01-01
2000,PA,Novembro,3366,2000-01-01
2001,PA,Novembro,4938,2001-01-01
2002,PA,Novembro,7996,2002-01-01
2003,PA,Novembro,6195,2003-01-01
2004,PA,Novembro,9842,2004-01-01
2005,PA,Novembro,4968,2005-01-01
2006,PA,Novembro,2883,2006-01-01
2007,PA,Novembro,289,2007-01-01
2008,PA,Novembro,2403,2008-01-01
2009,PA,Novembro,10012,2009-01-01
2010,PA,Novembro,4417,2010-01-01
2011,PA,Novembro,3043,2011-01-01
2012,PA,Novembro,6156,2012-01-01
2013,PA,Novembro,3688,2013-01-01
2014,PA,Novembro,7767,2014-01-01
2015,PA,Novembro,9643,2015-01-01
2016,PA,Novembro,7879,2016-01-01
2017,PA,Novembro,9079,2017-01-01
1998,PA,Dezembro,1008,1998-01-01
1999,PA,Dezembro,766,1999-01-01
2000,PA,Dezembro,1698,2000-01-01
2001,PA,Dezembro,2564,2001-01-01
2002,PA,Dezembro,3118,2002-01-01
2003,PA,Dezembro,4787,2003-01-01
2004,PA,Dezembro,5508,2004-01-01
2005,PA,Dezembro,1495,2005-01-01
2006,PA,Dezembro,1417,2006-01-01
2007,PA,Dezembro,689,2007-01-01
2008,PA,Dezembro,684,2008-01-01
2009,PA,Dezembro,2832,2009-01-01
2010,PA,Dezembro,1612,2010-01-01
2011,PA,Dezembro,3218,2011-01-01
2012,PA,Dezembro,1812,2012-01-01
2013,PA,Dezembro,5514,2013-01-01
2014,PA,Dezembro,4828,2014-01-01
2015,PA,Dezembro,661,2015-01-01
2016,PA,Dezembro,33,2016-01-01
1998,PB,Janeiro,0,1998-01-01
1999,PB,Janeiro,26,1999-01-01
2000,PB,Janeiro,0,2000-01-01
2001,PB,Janeiro,11,2001-01-01
2002,PB,Janeiro,5,2002-01-01
2003,PB,Janeiro,70,2003-01-01
2004,PB,Janeiro,33,2004-01-01
2005,PB,Janeiro,178,2005-01-01
2006,PB,Janeiro,83,2006-01-01
2007,PB,Janeiro,69,2007-01-01
2008,PB,Janeiro,77,2008-01-01
2009,PB,Janeiro,115,2009-01-01
2010,PB,Janeiro,46,2010-01-01
2011,PB,Janeiro,11,2011-01-01
2012,PB,Janeiro,61,2012-01-01
2013,PB,Janeiro,38,2013-01-01
2014,PB,Janeiro,75,2014-01-01
2015,PB,Janeiro,42,2015-01-01
2016,PB,Janeiro,18,2016-01-01
2017,PB,Janeiro,23,2017-01-01
1998,PB,Fevereiro,0,1998-01-01
1999,PB,Fevereiro,2,1999-01-01
2000,PB,Fevereiro,11,2000-01-01
2001,PB,Fevereiro,6,2001-01-01
2002,PB,Fevereiro,18,2002-01-01
2003,PB,Fevereiro,3,2003-01-01
2004,PB,Fevereiro,3,2004-01-01
2005,PB,Fevereiro,15,2005-01-01
2006,PB,Fevereiro,7,2006-01-01
2007,PB,Fevereiro,7,2007-01-01
2008,PB,Fevereiro,20,2008-01-01
2009,PB,Fevereiro,9,2009-01-01
2010,PB,Fevereiro,15,2010-01-01
2011,PB,Fevereiro,5,2011-01-01
2012,PB,Fevereiro,15,2012-01-01
2013,PB,Fevereiro,9,2013-01-01
2014,PB,Fevereiro,6,2014-01-01
2015,PB,Fevereiro,15,2015-01-01
2016,PB,Fevereiro,4,2016-01-01
2017,PB,Fevereiro,8,2017-01-01
1998,PB,Mar�o,0,1998-01-01
1999,PB,Mar�o,1,1999-01-01
2000,PB,Mar�o,5,2000-01-01
2001,PB,Mar�o,0,2001-01-01
2002,PB,Mar�o,3,2002-01-01
2003,PB,Mar�o,0,2003-01-01
2004,PB,Mar�o,3,2004-01-01
2005,PB,Mar�o,13,2005-01-01
2006,PB,Mar�o,4,2006-01-01
2007,PB,Mar�o,1,2007-01-01
2008,PB,Mar�o,8,2008-01-01
2009,PB,Mar�o,2,2009-01-01
2010,PB,Mar�o,16,2010-01-01
2011,PB,Mar�o,6,2011-01-01
2012,PB,Mar�o,4,2012-01-01
2013,PB,Mar�o,3,2013-01-01
2014,PB,Mar�o,18,2014-01-01
2015,PB,Mar�o,7,2015-01-01
2016,PB,Mar�o,1,2016-01-01
2017,PB,Mar�o,2,2017-01-01
1998,PB,Abril,0,1998-01-01
1999,PB,Abril,3,1999-01-01
2000,PB,Abril,1,2000-01-01
2001,PB,Abril,0,2001-01-01
2002,PB,Abril,1,2002-01-01
2003,PB,Abril,0,2003-01-01
2004,PB,Abril,3,2004-01-01
2005,PB,Abril,2,2005-01-01
2006,PB,Abril,0,2006-01-01
2007,PB,Abril,0,2007-01-01
2008,PB,Abril,0,2008-01-01
2009,PB,Abril,1,2009-01-01
2010,PB,Abril,2,2010-01-01
2011,PB,Abril,2,2011-01-01
2012,PB,Abril,13,2012-01-01
2013,PB,Abril,6,2013-01-01
2014,PB,Abril,8,2014-01-01
2015,PB,Abril,11,2015-01-01
2016,PB,Abril,1,2016-01-01
2017,PB,Abril,1,2017-01-01
1998,PB,Maio,0,1998-01-01
1999,PB,Maio,0,1999-01-01
2000,PB,Maio,0,2000-01-01
2001,PB,Maio,4,2001-01-01
2002,PB,Maio,1,2002-01-01
2003,PB,Maio,0,2003-01-01
2004,PB,Maio,1,2004-01-01
2005,PB,Maio,0,2005-01-01
2006,PB,Maio,0,2006-01-01
2007,PB,Maio,0,2007-01-01
2008,PB,Maio,0,2008-01-01
2009,PB,Maio,0,2009-01-01
2010,PB,Maio,10,2010-01-01
2011,PB,Maio,0,2011-01-01
2012,PB,Maio,10,2012-01-01
2013,PB,Maio,3,2013-01-01
2014,PB,Maio,1,2014-01-01
2015,PB,Maio,6,2015-01-01
2016,PB,Maio,1,2016-01-01
2017,PB,Maio,1,2017-01-01
1998,PB,Junho,3,1998-01-01
1999,PB,Junho,1,1999-01-01
2000,PB,Junho,2,2000-01-01
2001,PB,Junho,0,2001-01-01
2002,PB,Junho,1,2002-01-01
2003,PB,Junho,0,2003-01-01
2004,PB,Junho,0,2004-01-01
2005,PB,Junho,0,2005-01-01
2006,PB,Junho,0,2006-01-01
2007,PB,Junho,0,2007-01-01
2008,PB,Junho,0,2008-01-01
2009,PB,Junho,0,2009-01-01
2010,PB,Junho,3,2010-01-01
2011,PB,Junho,2,2011-01-01
2012,PB,Junho,5,2012-01-01
2013,PB,Junho,3,2013-01-01
2014,PB,Junho,1,2014-01-01
2015,PB,Junho,0,2015-01-01
2016,PB,Junho,4,2016-01-01
2017,PB,Junho,0,2017-01-01
1998,PB,Julho,0,1998-01-01
1999,PB,Julho,1,1999-01-01
2000,PB,Julho,0,2000-01-01
2001,PB,Julho,8,2001-01-01
2002,PB,Julho,8,2002-01-01
2003,PB,Julho,6,2003-01-01
2004,PB,Julho,1,2004-01-01
2005,PB,Julho,0,2005-01-01
2006,PB,Julho,1,2006-01-01
2007,PB,Julho,1,2007-01-01
2008,PB,Julho,0,2008-01-01
2009,PB,Julho,3,2009-01-01
2010,PB,Julho,7,2010-01-01
2011,PB,Julho,6,2011-01-01
2012,PB,Julho,5,2012-01-01
2013,PB,Julho,1,2013-01-01
2014,PB,Julho,9,2014-01-01
2015,PB,Julho,3,2015-01-01
2016,PB,Julho,22,2016-01-01
2017,PB,Julho,2,2017-01-01
1998,PB,Agosto,3,1998-01-01
1999,PB,Agosto,4,1999-01-01
2000,PB,Agosto,7,2000-01-01
2001,PB,Agosto,34,2001-01-01
2002,PB,Agosto,38,2002-01-01
2003,PB,Agosto,14,2003-01-01
2004,PB,Agosto,18,2004-01-01
2005,PB,Agosto,0,2005-01-01
2006,PB,Agosto,3,2006-01-01
2007,PB,Agosto,8,2007-01-01
2008,PB,Agosto,1,2008-01-01
2009,PB,Agosto,4,2009-01-01
2010,PB,Agosto,9,2010-01-01
2011,PB,Agosto,12,2011-01-01
2012,PB,Agosto,13,2012-01-01
2013,PB,Agosto,3,2013-01-01
2014,PB,Agosto,30,2014-01-01
2015,PB,Agosto,5,2015-01-01
2016,PB,Agosto,50,2016-01-01
2017,PB,Agosto,3,2017-01-01
1998,PB,Setembro,50,1998-01-01
1999,PB,Setembro,14,1999-01-01
2000,PB,Setembro,9,2000-01-01
2001,PB,Setembro,98,2001-01-01
2002,PB,Setembro,63,2002-01-01
2003,PB,Setembro,81,2003-01-01
2004,PB,Setembro,34,2004-01-01
2005,PB,Setembro,13,2005-01-01
2006,PB,Setembro,27,2006-01-01
2007,PB,Setembro,22,2007-01-01
2008,PB,Setembro,21,2008-01-01
2009,PB,Setembro,28,2009-01-01
2010,PB,Setembro,37,2010-01-01
2011,PB,Setembro,55,2011-01-01
2012,PB,Setembro,71,2012-01-01
2013,PB,Setembro,25,2013-01-01
2014,PB,Setembro,51,2014-01-01
2015,PB,Setembro,48,2015-01-01
2016,PB,Setembro,131,2016-01-01
2017,PB,Setembro,30,2017-01-01
1998,PB,Outubro,179,1998-01-01
1999,PB,Outubro,48,1999-01-01
2000,PB,Outubro,125,2000-01-01
2001,PB,Outubro,279,2001-01-01
2002,PB,Outubro,193,2002-01-01
2003,PB,Outubro,381,2003-01-01
2004,PB,Outubro,190,2004-01-01
2005,PB,Outubro,155,2005-01-01
2006,PB,Outubro,135,2006-01-01
2007,PB,Outubro,111,2007-01-01
2008,PB,Outubro,80,2008-01-01
2009,PB,Outubro,117,2009-01-01
2010,PB,Outubro,150,2010-01-01
2011,PB,Outubro,200,2011-01-01
2012,PB,Outubro,136,2012-01-01
2013,PB,Outubro,58,2013-01-01
2014,PB,Outubro,70,2014-01-01
2015,PB,Outubro,121,2015-01-01
2016,PB,Outubro,304,2016-01-01
2017,PB,Outubro,123,2017-01-01
1998,PB,Novembro,46,1998-01-01
1999,PB,Novembro,38,1999-01-01
2000,PB,Novembro,65,2000-01-01
2001,PB,Novembro,294,2001-01-01
2002,PB,Novembro,238,2002-01-01
2003,PB,Novembro,538,2003-01-01
2004,PB,Novembro,331,2004-01-01
2005,PB,Novembro,280,2005-01-01
2006,PB,Novembro,215,2006-01-01
2007,PB,Novembro,256,2007-01-01
2008,PB,Novembro,175,2008-01-01
2009,PB,Novembro,428,2009-01-01
2010,PB,Novembro,451,2010-01-01
2011,PB,Novembro,359,2011-01-01
2012,PB,Novembro,130,2012-01-01
2013,PB,Novembro,95,2013-01-01
2014,PB,Novembro,111,2014-01-01
2015,PB,Novembro,206,2015-01-01
2016,PB,Novembro,132,2016-01-01
2017,PB,Novembro,101,2017-01-01
1998,PB,Dezembro,51,1998-01-01
1999,PB,Dezembro,40,1999-01-01
2000,PB,Dezembro,34,2000-01-01
2001,PB,Dezembro,70,2001-01-01
2002,PB,Dezembro,163,2002-01-01
2003,PB,Dezembro,288,2003-01-01
2004,PB,Dezembro,351,2004-01-01
2005,PB,Dezembro,159,2005-01-01
2006,PB,Dezembro,196,2006-01-01
2007,PB,Dezembro,133,2007-01-01
2008,PB,Dezembro,187,2008-01-01
2009,PB,Dezembro,270,2009-01-01
2010,PB,Dezembro,65,2010-01-01
2011,PB,Dezembro,179,2011-01-01
2012,PB,Dezembro,62,2012-01-01
2013,PB,Dezembro,78,2013-01-01
2014,PB,Dezembro,62,2014-01-01
2015,PB,Dezembro,122,2015-01-01
2016,PB,Dezembro,8,2016-01-01
1998,PR,Janeiro,0,1998-01-01
1999,PR,Janeiro,7,1999-01-01
2000,PR,Janeiro,49,2000-01-01
2001,PR,Janeiro,32,2001-01-01
2002,PR,Janeiro,47,2002-01-01
2003,PR,Janeiro,109,2003-01-01
2004,PR,Janeiro,88,2004-01-01
2005,PR,Janeiro,55,2005-01-01
2006,PR,Janeiro,78,2006-01-01
2007,PR,Janeiro,11,2007-01-01
2008,PR,Janeiro,35,2008-01-01
2009,PR,Janeiro,35,2009-01-01
2010,PR,Janeiro,18,2010-01-01
2011,PR,Janeiro,35,2011-01-01
2012,PR,Janeiro,31,2012-01-01
2013,PR,Janeiro,28,2013-01-01
2014,PR,Janeiro,86,2014-01-01
2015,PR,Janeiro,120,2015-01-01
2016,PR,Janeiro,113,2016-01-01
2017,PR,Janeiro,55,2017-01-01
1998,PR,Fevereiro,0,1998-01-01
1999,PR,Fevereiro,22,1999-01-01
2000,PR,Fevereiro,67,2000-01-01
2001,PR,Fevereiro,8,2001-01-01
2002,PR,Fevereiro,24,2002-01-01
2003,PR,Fevereiro,46,2003-01-01
2004,PR,Fevereiro,42,2004-01-01
2005,PR,Fevereiro,77,2005-01-01
2006,PR,Fevereiro,60,2006-01-01
2007,PR,Fevereiro,32,2007-01-01
2008,PR,Fevereiro,38,2008-01-01
2009,PR,Fevereiro,21,2009-01-01
2010,PR,Fevereiro,46,2010-01-01
2011,PR,Fevereiro,8,2011-01-01
2012,PR,Fevereiro,40,2012-01-01
2013,PR,Fevereiro,9,2013-01-01
2014,PR,Fevereiro,52,2014-01-01
2015,PR,Fevereiro,58,2015-01-01
2016,PR,Fevereiro,31,2016-01-01
2017,PR,Fevereiro,60,2017-01-01
1998,PR,Mar�o,0,1998-01-01
1999,PR,Mar�o,40,1999-01-01
2000,PR,Mar�o,52,2000-01-01
2001,PR,Mar�o,12,2001-01-01
2002,PR,Mar�o,18,2002-01-01
2003,PR,Mar�o,76,2003-01-01
2004,PR,Mar�o,83,2004-01-01
2005,PR,Mar�o,84,2005-01-01
2006,PR,Mar�o,56,2006-01-01
2007,PR,Mar�o,54,2007-01-01
2008,PR,Mar�o,43,2008-01-01
2009,PR,Mar�o,57,2009-01-01
2010,PR,Mar�o,22,2010-01-01
2011,PR,Mar�o,21,2011-01-01
2012,PR,Mar�o,55,2012-01-01
2013,PR,Mar�o,18,2013-01-01
2014,PR,Mar�o,42,2014-01-01
2015,PR,Mar�o,55,2015-01-01
2016,PR,Mar�o,63,2016-01-01
2017,PR,Mar�o,43,2017-01-01
1998,PR,Abril,0,1998-01-01
1999,PR,Abril,39,1999-01-01
2000,PR,Abril,51,2000-01-01
2001,PR,Abril,43,2001-01-01
2002,PR,Abril,84,2002-01-01
2003,PR,Abril,130,2003-01-01
2004,PR,Abril,68,2004-01-01
2005,PR,Abril,22,2005-01-01
2006,PR,Abril,49,2006-01-01
2007,PR,Abril,14,2007-01-01
2008,PR,Abril,62,2008-01-01
2009,PR,Abril,80,2009-01-01
2010,PR,Abril,71,2010-01-01
2011,PR,Abril,38,2011-01-01
2012,PR,Abril,38,2012-01-01
2013,PR,Abril,72,2013-01-01
2014,PR,Abril,38,2014-01-01
2015,PR,Abril,83,2015-01-01
2016,PR,Abril,167,2016-01-01
2017,PR,Abril,77,2017-01-01
1998,PR,Maio,0,1998-01-01
1999,PR,Maio,57,1999-01-01
2000,PR,Maio,43,2000-01-01
2001,PR,Maio,26,2001-01-01
2002,PR,Maio,65,2002-01-01
2003,PR,Maio,115,2003-01-01
2004,PR,Maio,9,2004-01-01
2005,PR,Maio,125,2005-01-01
2006,PR,Maio,90,2006-01-01
2007,PR,Maio,14,2007-01-01
2008,PR,Maio,41,2008-01-01
2009,PR,Maio,117,2009-01-01
2010,PR,Maio,39,2010-01-01
2011,PR,Maio,97,2011-01-01
2012,PR,Maio,86,2012-01-01
2013,PR,Maio,85,2013-01-01
2014,PR,Maio,109,2014-01-01
2015,PR,Maio,77,2015-01-01
2016,PR,Maio,72,2016-01-01
2017,PR,Maio,49,2017-01-01
1998,PR,Junho,36,1998-01-01
1999,PR,Junho,31,1999-01-01
2000,PR,Junho,53,2000-01-01
2001,PR,Junho,43,2001-01-01
2002,PR,Junho,115,2002-01-01
2003,PR,Junho,159,2003-01-01
2004,PR,Junho,147,2004-01-01
2005,PR,Junho,114,2005-01-01
2006,PR,Junho,62,2006-01-01
2007,PR,Junho,57,2007-01-01
2008,PR,Junho,17,2008-01-01
2009,PR,Junho,105,2009-01-01
2010,PR,Junho,55,2010-01-01
2011,PR,Junho,162,2011-01-01
2012,PR,Junho,77,2012-01-01
2013,PR,Junho,52,2013-01-01
2014,PR,Junho,112,2014-01-01
2015,PR,Junho,201,2015-01-01
2016,PR,Junho,238,2016-01-01
2017,PR,Junho,169,2017-01-01
1998,PR,Julho,59,1998-01-01
1999,PR,Julho,94,1999-01-01
2000,PR,Julho,98,2000-01-01
2001,PR,Julho,122,2001-01-01
2002,PR,Julho,172,2002-01-01
2003,PR,Julho,101,2003-01-01
2004,PR,Julho,148,2004-01-01
2005,PR,Julho,155,2005-01-01
2006,PR,Julho,139,2006-01-01
2007,PR,Julho,60,2007-01-01
2008,PR,Julho,87,2008-01-01
2009,PR,Julho,34,2009-01-01
2010,PR,Julho,196,2010-01-01
2011,PR,Julho,262,2011-01-01
2012,PR,Julho,111,2012-01-01
2013,PR,Julho,168,2013-01-01
2014,PR,Julho,215,2014-01-01
2015,PR,Julho,137,2015-01-01
2016,PR,Julho,504,2016-01-01
2017,PR,Julho,891,2017-01-01
1998,PR,Agosto,42,1998-01-01
1999,PR,Agosto,938,1999-01-01
2000,PR,Agosto,849,2000-01-01
2001,PR,Agosto,342,2001-01-01
2002,PR,Agosto,1593,2002-01-01
2003,PR,Agosto,1896,2003-01-01
2004,PR,Agosto,1237,2004-01-01
2005,PR,Agosto,800,2005-01-01
2006,PR,Agosto,844,2006-01-01
2007,PR,Agosto,580,2007-01-01
2008,PR,Agosto,205,2008-01-01
2009,PR,Agosto,844,2009-01-01
2010,PR,Agosto,733,2010-01-01
2011,PR,Agosto,435,2011-01-01
2012,PR,Agosto,522,2012-01-01
2013,PR,Agosto,481,2013-01-01
2014,PR,Agosto,646,2014-01-01
2015,PR,Agosto,651,2015-01-01
2016,PR,Agosto,101,2016-01-01
2017,PR,Agosto,987,2017-01-01
1998,PR,Setembro,61,1998-01-01
1999,PR,Setembro,878,1999-01-01
2000,PR,Setembro,381,2000-01-01
2001,PR,Setembro,258,2001-01-01
2002,PR,Setembro,1071,2002-01-01
2003,PR,Setembro,2446,2003-01-01
2004,PR,Setembro,136,2004-01-01
2005,PR,Setembro,386,2005-01-01
2006,PR,Setembro,866,2006-01-01
2007,PR,Setembro,960,2007-01-01
2008,PR,Setembro,413,2008-01-01
2009,PR,Setembro,149,2009-01-01
2010,PR,Setembro,270,2010-01-01
2011,PR,Setembro,913,2011-01-01
2012,PR,Setembro,459,2012-01-01
2013,PR,Setembro,476,2013-01-01
2014,PR,Setembro,443,2014-01-01
2015,PR,Setembro,599,2015-01-01
2016,PR,Setembro,1371,2016-01-01
2017,PR,Setembro,1706,2017-01-01
1998,PR,Outubro,61,1998-01-01
1999,PR,Outubro,452,1999-01-01
2000,PR,Outubro,658,2000-01-01
2001,PR,Outubro,209,2001-01-01
2002,PR,Outubro,399,2002-01-01
2003,PR,Outubro,1228,2003-01-01
2004,PR,Outubro,666,2004-01-01
2005,PR,Outubro,157,2005-01-01
2006,PR,Outubro,327,2006-01-01
2007,PR,Outubro,194,2007-01-01
2008,PR,Outubro,78,2008-01-01
2009,PR,Outubro,424,2009-01-01
2010,PR,Outubro,230,2010-01-01
2011,PR,Outubro,256,2011-01-01
2012,PR,Outubro,145,2012-01-01
2013,PR,Outubro,233,2013-01-01
2014,PR,Outubro,411,2014-01-01
2015,PR,Outubro,158,2015-01-01
2016,PR,Outubro,193,2016-01-01
2017,PR,Outubro,134,2017-01-01
1998,PR,Novembro,143,1998-01-01
1999,PR,Novembro,447,1999-01-01
2000,PR,Novembro,85,2000-01-01
2001,PR,Novembro,89,2001-01-01
2002,PR,Novembro,425,2002-01-01
2003,PR,Novembro,503,2003-01-01
2004,PR,Novembro,388,2004-01-01
2005,PR,Novembro,597,2005-01-01
2006,PR,Novembro,60,2006-01-01
2007,PR,Novembro,59,2007-01-01
2008,PR,Novembro,39,2008-01-01
2009,PR,Novembro,90,2009-01-01
2010,PR,Novembro,183,2010-01-01
2011,PR,Novembro,138,2011-01-01
2012,PR,Novembro,142,2012-01-01
2013,PR,Novembro,126,2013-01-01
2014,PR,Novembro,68,2014-01-01
2015,PR,Novembro,18,2015-01-01
2016,PR,Novembro,275,2016-01-01
2017,PR,Novembro,292,2017-01-01
1998,PR,Dezembro,82,1998-01-01
1999,PR,Dezembro,254,1999-01-01
2000,PR,Dezembro,159,2000-01-01
2001,PR,Dezembro,85,2001-01-01
2002,PR,Dezembro,165,2002-01-01
2003,PR,Dezembro,171,2003-01-01
2004,PR,Dezembro,151,2004-01-01
2005,PR,Dezembro,40,2005-01-01
2006,PR,Dezembro,6,2006-01-01
2007,PR,Dezembro,22,2007-01-01
2008,PR,Dezembro,62,2008-01-01
2009,PR,Dezembro,30,2009-01-01
2010,PR,Dezembro,37,2010-01-01
2011,PR,Dezembro,78,2011-01-01
2012,PR,Dezembro,54,2012-01-01
2013,PR,Dezembro,155,2013-01-01
2014,PR,Dezembro,78,2014-01-01
2015,PR,Dezembro,30,2015-01-01
2016,PR,Dezembro,45,2016-01-01
1998,PE,Janeiro,0,1998-01-01
1999,PE,Janeiro,102,1999-01-01
2000,PE,Janeiro,3,2000-01-01
2001,PE,Janeiro,7,2001-01-01
2002,PE,Janeiro,10,2002-01-01
2003,PE,Janeiro,188,2003-01-01
2004,PE,Janeiro,29,2004-01-01
2005,PE,Janeiro,221,2005-01-01
2006,PE,Janeiro,148,2006-01-01
2007,PE,Janeiro,156,2007-01-01
2008,PE,Janeiro,170,2008-01-01
2009,PE,Janeiro,256,2009-01-01
2010,PE,Janeiro,47,2010-01-01
2011,PE,Janeiro,49,2011-01-01
2012,PE,Janeiro,146,2012-01-01
2013,PE,Janeiro,55,2013-01-01
2014,PE,Janeiro,99,2014-01-01
2015,PE,Janeiro,109,2015-01-01
2016,PE,Janeiro,24,2016-01-01
2017,PE,Janeiro,52,2017-01-01
1998,PE,Fevereiro,0,1998-01-01
1999,PE,Fevereiro,13,1999-01-01
2000,PE,Fevereiro,4,2000-01-01
2001,PE,Fevereiro,2,2001-01-01
2002,PE,Fevereiro,19,2002-01-01
2003,PE,Fevereiro,35,2003-01-01
2004,PE,Fevereiro,8,2004-01-01
2005,PE,Fevereiro,33,2005-01-01
2006,PE,Fevereiro,41,2006-01-01
2007,PE,Fevereiro,21,2007-01-01
2008,PE,Fevereiro,48,2008-01-01
2009,PE,Fevereiro,28,2009-01-01
2010,PE,Fevereiro,33,2010-01-01
2011,PE,Fevereiro,25,2011-01-01
2012,PE,Fevereiro,64,2012-01-01
2013,PE,Fevereiro,29,2013-01-01
2014,PE,Fevereiro,25,2014-01-01
2015,PE,Fevereiro,55,2015-01-01
2016,PE,Fevereiro,19,2016-01-01
2017,PE,Fevereiro,23,2017-01-01
