year,state,month,number,date
2012,AC,Outubro,348,2012-01-01
2013,AC,Outubro,258,2013-01-01
2014,AC,Outubro,406,2014-01-01
2015,AC,Outubro,905,2015-01-01
2016,AC,Outubro,509,2016-01-01
2017,AC,Outubro,1508,2017-01-01
1998,AC,Novembro,0,1998-01-01
1999,AC,Novembro,0,1999-01-01
2000,AC,Novembro,0,2000-01-01
2001,AC,Novembro,1,2001-01-01
2002,AC,Novembro,86,2002-01-01
2003,AC,Novembro,15,2003-01-01
2004,AC,Novembro,10,2004-01-01
2005,AC,Novembro,14,2005-01-01
2006,AC,Novembro,18,2006-01-01
2007,AC,Novembro,7,2007-01-01
2008,AC,Novembro,4,2008-01-01
2009,AC,Novembro,33,2009-01-01
2010,AC,Novembro,39,2010-01-01
2011,AC,Novembro,74,2011-01-01
2012,AC,Novembro,13,2012-01-01
2013,AC,Novembro,79,2013-01-01
2014,AC,Novembro,56,2014-01-01
2015,AC,Novembro,115,2015-01-01
2016,AC,Novembro,46,2016-01-01
2017,AC,Novembro,98,2017-01-01
1998,AC,Dezembro,7,1998-01-01
1999,AC,Dezembro,0,1999-01-01
2000,AC,Dezembro,0,2000-01-01
2001,AC,Dezembro,0,2001-01-01
2002,AC,Dezembro,1,2002-01-01
2003,AC,Dezembro,1,2003-01-01
2004,AC,Dezembro,7,2004-01-01
2005,AC,Dezembro,2,2005-01-01
2006,AC,Dezembro,0,2006-01-01
2007,AC,Dezembro,0,2007-01-01
2008,AC,Dezembro,0,2008-01-01
2009,AC,Dezembro,1,2009-01-01
2010,AC,Dezembro,0,2010-01-01
2011,AC,Dezembro,4,2011-01-01
2012,AC,Dezembro,1,2012-01-01
2013,AC,Dezembro,3,2013-01-01
2014,AC,Dezembro,6,2014-01-01
2015,AC,Dezembro,8,2015-01-01
2016,AC,Dezembro,6,2016-01-01
1998,AL,Janeiro,0,1998-01-01
1999,AL,Janeiro,58,1999-01-01
2000,AL,Janeiro,11,2000-01-01
2001,AL,Janeiro,5,2001-01-01
2002,AL,Janeiro,12,2002-01-01
2003,AL,Janeiro,150,2003-01-01
2004,AL,Janeiro,9,2004-01-01
2005,AL,Janeiro,83,2005-01-01
2006,AL,Janeiro,29,2006-01-01
2007,AL,Janeiro,33,2007-01-01
2008,AL,Janeiro,55,2008-01-01
2009,AL,Janeiro,104,2009-01-01
2010,AL,Janeiro,23,2010-01-01
2011,AL,Janeiro,41,2011-01-01
2012,AL,Janeiro,36,2012-01-01
2013,AL,Janeiro,49,2013-01-01
2014,AL,Janeiro,54,2014-01-01
2015,AL,Janeiro,81,2015-01-01
2016,AL,Janeiro,24,2016-01-01
2017,AL,Janeiro,38,2017-01-01
2017,AL,Janeiro,38,2017-01-01
1998,AL,Fevereiro,0,1998-01-01
1999,AL,Fevereiro,20,1999-01-01
2000,AL,Fevereiro,16,2000-01-01
2001,AL,Fevereiro,4,2001-01-01
2002,AL,Fevereiro,15,2002-01-01
2003,AL,Fevereiro,33,2003-01-01
2004,AL,Fevereiro,7,2004-01-01
2005,AL,Fevereiro,31,2005-01-01
2006,AL,Fevereiro,14,2006-01-01
2007,AL,Fevereiro,28,2007-01-01
2008,AL,Fevereiro,74,2008-01-01
2009,AL,Fevereiro,32,2009-01-01
2010,AL,Fevereiro,26,2010-01-01
2011,AL,Fevereiro,33,2011-01-01
2012,AL,Fevereiro,41,2012-01-01
2013,AL,Fevereiro,19,2013-01-01
2014,AL,Fevereiro,29,2014-01-01
2015,AL,Fevereiro,46,2015-01-01
2016,AL,Fevereiro,14,2016-01-01
2017,AL,Fevereiro,21,2017-01-01
1998,AL,Mar�o,0,1998-01-01
1999,AL,Mar�o,52,1999-01-01
2000,AL,Mar�o,32,2000-01-01
2001,AL,Mar�o,0,2001-01-01
2002,AL,Mar�o,27,2002-01-01
2003,AL,Mar�o,15,2003-01-01
2004,AL,Mar�o,16,2004-01-01
2005,AL,Mar�o,35,2005-01-01
2006,AL,Mar�o,37,2006-01-01
2007,AL,Mar�o,7,2007-01-01
2008,AL,Mar�o,31,2008-01-01
2009,AL,Mar�o,31,2009-01-01
2010,AL,Mar�o,70,2010-01-01
2011,AL,Mar�o,34,2011-01-01
2012,AL,Mar�o,44,2012-01-01
2013,AL,Mar�o,31,2013-01-01
2014,AL,Mar�o,28,2014-01-01
2015,AL,Mar�o,32,2015-01-01
2016,AL,Mar�o,9,2016-01-01
2017,AL,Mar�o,23,2017-01-01
1998,AL,Abril,0,1998-01-01
1999,AL,Abril,4,1999-01-01
2000,AL,Abril,20,2000-01-01
2001,AL,Abril,0,2001-01-01
2002,AL,Abril,6,2002-01-01
2003,AL,Abril,20,2003-01-01
2004,AL,Abril,6,2004-01-01
2005,AL,Abril,1,2005-01-01
2006,AL,Abril,2,2006-01-01
2007,AL,Abril,1,2007-01-01
2008,AL,Abril,18,2008-01-01
2009,AL,Abril,5,2009-01-01
2010,AL,Abril,3,2010-01-01
2011,AL,Abril,17,2011-01-01
2012,AL,Abril,18,2012-01-01
2013,AL,Abril,25,2013-01-01
2014,AL,Abril,16,2014-01-01
2015,AL,Abril,63,2015-01-01
2016,AL,Abril,13,2016-01-01
2017,AL,Abril,7,2017-01-01
1998,AL,Maio,0,1998-01-01
1999,AL,Maio,1,1999-01-01
2000,AL,Maio,1,2000-01-01
2001,AL,Maio,2,2001-01-01
2002,AL,Maio,1,2002-01-01
2003,AL,Maio,1,2003-01-01
2004,AL,Maio,3,2004-01-01
2005,AL,Maio,0,2005-01-01
2006,AL,Maio,0,2006-01-01
2007,AL,Maio,0,2007-01-01
2008,AL,Maio,0,2008-01-01
2009,AL,Maio,0,2009-01-01
2010,AL,Maio,0,2010-01-01
2011,AL,Maio,0,2011-01-01
2012,AL,Maio,21,2012-01-01
2013,AL,Maio,2,2013-01-01
2014,AL,Maio,1,2014-01-01
2015,AL,Maio,18,2015-01-01
2016,AL,Maio,4,2016-01-01
2017,AL,Maio,1,2017-01-01
1998,AL,Junho,0,1998-01-01
1999,AL,Junho,0,1999-01-01
2000,AL,Junho,0,2000-01-01
2001,AL,Junho,2,2001-01-01
2002,AL,Junho,0,2002-01-01
2003,AL,Junho,0,2003-01-01
2004,AL,Junho,0,2004-01-01
2005,AL,Junho,0,2005-01-01
2006,AL,Junho,0,2006-01-01
2007,AL,Junho,0,2007-01-01
2008,AL,Junho,0,2008-01-01
2009,AL,Junho,0,2009-01-01
2010,AL,Junho,0,2010-01-01
2011,AL,Junho,2,2011-01-01
2012,AL,Junho,4,2012-01-01
2013,AL,Junho,1,2013-01-01
2014,AL,Junho,2,2014-01-01
2015,AL,Junho,2,2015-01-01
2016,AL,Junho,5,2016-01-01
2017,AL,Junho,2,2017-01-01
1998,AL,Julho,0,1998-01-01
1999,AL,Julho,0,1999-01-01
2000,AL,Julho,0,2000-01-01
2001,AL,Julho,0,2001-01-01
2002,AL,Julho,5,2002-01-01
2003,AL,Julho,0,2003-01-01
2004,AL,Julho,0,2004-01-01
2005,AL,Julho,0,2005-01-01
2006,AL,Julho,0,2006-01-01
